Tallahassee,FL,LOCAL,30.46,-84.25,273481
New_Haven,CT,METRO,41.31,-72.92,1016891
Terre_Haute,IN,LOCAL,39.47,-87.38,93247
Beaver_Dam,WI,LOCAL,43.47,-88.83,27586
Birmingham,AL,METRO,33.53,-86.80,1106081
Durham,NC,METRO,35.98,-78.90,481699
Carbondale,IL,LOCAL,37.72,-89.22,74209
Longview,WA,LOCAL,46.15,-122.96,80195
Springfield,MO,LOCAL,37.19,-93.29,354103
Odessa,TX,LOCAL,31.88,-102.34,168698
Summerville,SC,LOCAL,33.00,-80.18,53643
Boulder,CO,LOCAL,40.02,-105.25,365298
Salisbury,NC,LOCAL,35.67,-80.49,33961
Wilson,NC,LOCAL,35.73,-77.93,49310
Monroe,LA,LOCAL,32.52,-92.08,141532
Rock_Springs,WY,LOCAL,41.59,-109.22,35263
Kokomo,IN,LOCAL,40.46,-86.13,58066
Naperville,IL,LOCAL,41.75,-88.17,1483575
Thomasville,NC,LOCAL,35.88,-80.08,45804
Brownsville,TX,LOCAL,26.00,-97.46,402995
Fond_du_Lac,WI,LOCAL,43.77,-88.44,50746
Elizabethtown,KY,LOCAL,37.70,-85.88,110107
Minneapolis,MN,METRO,44.96,-93.27,4804545
McAllen,TX,METRO,26.23,-98.25,1286993
Oklahoma_City,OK,METRO,35.47,-97.51,1177410
Phillipsburg,NJ,LOCAL,40.69,-75.18,30218
Hot_Springs,AR,LOCAL,34.49,-93.05,54259
Kahului,HI,LOCAL,20.87,-156.46,132594
Hattiesburg,MS,LOCAL,31.31,-89.32,95710
Omaha,NE,METRO,41.26,-96.05,914190
Springfield,IL,LOCAL,39.77,-89.65,175579
Manhattan,KS,LOCAL,39.19,-96.60,63765
Tuscaloosa,AL,LOCAL,33.23,-87.53,175272
Chaska,MN,LOCAL,44.82,-93.61,74786
Lexington,SC,LOCAL,33.99,-81.22,99823
Pahrump,NV,LOCAL,36.22,-116.00,38390
Huntsville,AL,LOCAL,34.70,-86.64,375516
New_Bedford,MA,LOCAL,41.67,-70.94,349581
St_Joseph,MO,LOCAL,39.76,-94.82,79349
Milwaukee,WI,METRO,43.06,-87.97,1796124
West_Bend,WI,LOCAL,43.42,-88.18,123973
Johnson_City,TN,LOCAL,36.34,-82.38,126265
Tampa,FL,METRO,27.99,-82.44,3731253
Greensboro,NC,LOCAL,36.10,-79.83,542323
Bartlesville,OK,LOCAL,36.74,-95.95,36495
Columbus,IN,LOCAL,39.21,-85.92,48820
St_Louis,MO,METRO,38.64,-90.25,3112895
Fresno,CA,METRO,36.78,-119.79,989090
Richmond,IN,LOCAL,39.83,-84.89,35467
Coeur_d'Alene,ID,LOCAL,47.70,-116.79,173572
Pine_Bluff,AR,LOCAL,34.21,-92.02,42323
Mason,OH,LOCAL,39.36,-84.30,92549
Grand_Rapids,MI,METRO,42.96,-85.66,874942
Arecibo,PR,LOCAL,18.45,-66.74,123499
Philadelphia,PA,METRO,40.01,-75.13,5836414
Ponce,PR,LOCAL,18.01,-66.62,118641
Buffalo,NY,METRO,42.90,-78.85,1004104
Lansing,MI,LOCAL,42.71,-84.56,493643
Prattville,AL,LOCAL,32.46,-86.46,36599
Goldsboro,NC,LOCAL,35.38,-77.97,34610
Shelby,NC,LOCAL,35.29,-81.55,30931
Truckee,CA,LOCAL,39.35,-120.18,37103
Nashua,NH,LOCAL,42.75,-71.49,394897
Longview,TX,LOCAL,32.52,-94.76,113599
Atlantic_City,NJ,LOCAL,39.38,-74.45,341069
Henderson,KY,LOCAL,37.84,-87.58,28469
Shakopee,MN,LOCAL,44.77,-93.48,115115
Cleveland,TN,LOCAL,35.18,-84.87,80381
Norfolk,VA,LOCAL,36.89,-76.26,244300
Laplace,LA,LOCAL,30.07,-90.48,37738
Anderson,IN,LOCAL,40.09,-85.69,94135
Greenfield,IN,LOCAL,39.79,-85.77,29798
Hickory,NC,LOCAL,35.74,-81.32,241934
Mooresville,NC,LOCAL,35.58,-80.83,78444
Sevierville,TN,LOCAL,35.89,-83.57,32629
Butte,MT,LOCAL,45.90,-112.66,34263
Lima,OH,LOCAL,40.74,-84.11,76506
Wilkes-Barre,PA,LOCAL,41.25,-75.88,108046
Rome,GA,LOCAL,34.27,-85.19,66998
Florence,AL,LOCAL,34.83,-87.67,79590
Hilo,HI,LOCAL,19.69,-155.09,81762
Clarksville,TN,LOCAL,36.57,-87.34,183798
Newcastle,OK,LOCAL,35.24,-97.60,25295
North_Mankato,MN,LOCAL,44.18,-94.04,25837
Muscle_Shoals,AL,LOCAL,34.74,-87.63,31749
Binghamton,NY,LOCAL,42.10,-75.91,185279
Albertville,AL,LOCAL,34.26,-86.21,48143
Carlsbad,NM,LOCAL,32.40,-104.24,41741
Liberty,TX,LOCAL,30.04,-94.79,25995
Victoria,TX,LOCAL,28.83,-96.98,66427
Linda,CA,LOCAL,39.12,-121.54,57145
Pittsfield,MA,LOCAL,42.45,-73.26,55411
Port_Angeles,WA,LOCAL,48.11,-123.46,27512
Eureka,CA,LOCAL,40.79,-124.16,73984
Texas_City,TX,LOCAL,29.42,-94.97,388150
Victorville,CA,METRO,34.53,-117.35,2213515
El_Paso,TX,METRO,31.85,-106.43,873979
Memphis,TN,METRO,35.11,-89.97,1430146
Winston-Salem,NC,METRO,36.10,-80.26,475874
Flagstaff,AZ,LOCAL,35.19,-111.62,96273
Port_St_Lucie,FL,METRO,27.28,-80.39,605012
Alabaster,AL,LOCAL,33.22,-86.82,128121
Sheboygan,WI,LOCAL,43.74,-87.73,86786
Abilene,TX,LOCAL,32.45,-99.74,110993
Reading,PA,LOCAL,40.34,-75.93,297238
Gadsden,AL,LOCAL,34.01,-86.02,53626
Lorain,OH,LOCAL,41.44,-82.18,357367
Wheeling,WV,LOCAL,40.08,-80.70,75065
Rochester,MN,LOCAL,44.02,-92.48,116962
Oxford,MS,LOCAL,34.36,-89.53,27662
Scranton,PA,METRO,41.40,-75.66,417228
